src,dest,dist
FWA,ATL,817643
CNX,ICN,3381995
FOC,NNG,1222999
KMG,PVG,1968438
SHA,CAN,1174357
DEL,COK,2039871
SVX,KUF,767340
BLR,HYD,453019
ICN,NGO,974998
BKK,ICN,3664866
HYD,BLR,453019
FCO,TLV,2281352
DLC,WUH,1127413
KMG,HGH,1815773
ICN,BKK,3664866
TIP,CAI,1755900
SHE,PVG,1174374
BKK,PVG,2894394
YYC,YEG,246172
CTU,SHA,1662367
BKK,RGN,610657
FAI,ANC,419981
PVG,REP,2692394
CGO,KMG,1482133
GSP,ATL,246766
KUL,RGN,1681057
PEK,KMG,2092746
KWL,PVG,1327727
IST,TZX,922981
ICN,BKK,3664866
DXB,MAA,2933761
BLR,BOM,832138
FOC,CSX,686082
KMG,CGO,1482133
SYX,PVG,1892996
PNH,RGN,1111201
ATL,CID,1117001
TSN,DLC,363389
KWE,NKG,1306515
CSX,NKG,671867
SZX,SHE,2292381
PVG,BKK,2894394
KMG,CTU,615112
KMG,TNA,1882804
YYJ,YVR,63364
PVG,SHE,1174374
KIX,PVG,1309380
DME,GRV,1449447
KMG,KWE,419553
CVG,ATL,600942
HRB,PVG,1652897
CSX,KMG,1079719
HAK,KMG,962704
SZX,HGH,1068845
KMG,HAK,962704
MFM,PVG,1288037
TIP,CMN,1937092
ODS,IST,623790
KMG,KWL,716838
KMG,XIY,1178438
YVR,YYJ,63364
JFK,MSY,1902461
KWE,SIN,2803342
NKG,KWE,1306515
KMG,CSX,1079719
NNG,SHA,1615151
PVG,TPE,674554
SHA,URC,3277460
HGH,KMG,1815773
CTU,TSN,1546380
HKG,PVG,1253823
IST,BJV,425467
IST,ADA,714185
KWL,XMN,820645
TSN,CTU,1546380
GSO,ATL,493012
CMN,TIP,1937092
IST,AYT,484335
SHA,XIY,1231221
PVG,CKG,1464020
TIP,FCO,1017670
KMG,TYN,1675780
KWL,KMG,716838
SHE,HGH,1295374
CSX,FOC,686082
PVG,SIN,3793921
CKG,PVG,1464020
IST,ADB,330263
PVG,KHH,960082
ATH,MUC,1518592
ATH,MXP,1522517
HER,MRS,1933416
OTP,ATH,758747
SDQ,SXM,695103
LGA,MSY,1904276
KMG,SYX,1007929
DTW,MSY,1490267
GZT,IST,873455
ATL,LEX,488449
PVG,SYX,1892996
YYZ,BRU,6061685
HGH,SZX,1068845
RGN,ICN,3741177
HKG,DEL,3752209
SKG,LED,2203814
SHA,KWE,1507633
TLV,HER,972300
STR,SKG,1415938
SHA,SZX,1206632
WAW,ATH,1598283
BMI,DFW,1110048
CTU,KMG,615112
ATL,TYS,244462
WUH,KMG,1275073
SHA,CKG,1419624
LEX,ATL,488449
ATQ,DEL,413201
CNX,PVG,2674687
MSP,ATL,1459002
AKL,BNE,2297838
BNA,DCA,904186
SHA,SYX,1866587
AUH,MAA,2967042
AUH,DEL,2280960
BOM,KWI,2760419
COK,MCT,2432174
BRU,DEL,6411225
ATL,CRW,584316
JED,TIP,2838796
HGH,DLC,974403
ATL,ROA,574993
BLR,KUL,2883993
DEL,BLR,1702766
HYD,KUL,3007004
HYD,AUH,2595901
GOI,MAA,733438
DUS,SKG,1728846
ARN,SKG,2157042
ATH,LED,2472518
SHJ,COK,2772234
BUD,ATH,1122609
MRS,HER,1933416
KMG,CKG,629640
TYN,KMG,1675780
DLC,TSN,363389
TZX,IST,922981
REP,PVG,2692394
RGN,PNH,1111201
ADA,IST,714185
KHH,PVG,960082
HER,BRU,2397382
PRG,ATH,1555799
BOM,LHR,7221029
YEG,YYC,246172
VIE,TBS,2338335
TBS,TLV,1396173
BNA,DFW,1015798
BCN,JFK,6165913
BHD,LHR,504085
ATL,DFW,1177007
CCU,BOM,1667514
AYT,IST,484335
MSY,DTW,1490267
AUH,CCJ,2689423
DEL,BKK,2947695
XIY,SHA,1231221
AUH,COK,2793650
DMM,DEL,2701801
BCN,ATH,1908948
TRV,DMM,3487093
HER,SKG,606819
PVG,DLC,868161
DXB,TIP,4167542
XMN,PVG,815937
ATL,MSP,1459002
GOI,BOM,422956
FRA,HER,2116301
HGH,SHE,1295374
ATH,TIA,529458
HER,TLV,972300
TXL,ATH,1823364
HER,DME,2434082
CDG,TBS,3375095
ATL,GSO,493012
CDG,ATH,2111808
XMN,SHA,802067
HAJ,SKG,1668434
BDL,CLT,1035990
MSY,MEM,560538
AUS,JFK,2448499
TBS,VIE,2338335
BOM,BLR,832138
CKG,SHA,1419624
XIY,URC,2108283
ATL,CVG,600942
BNA,CLT,528898
IST,ERZ,1053086
TBS,RIX,2263367
BDL,MIA,1922220
PVG,KWL,1327727
DEL,ATQ,413201
BOM,BRU,6873050
CCJ,BOM,940281
TRV,BOM,1252392
KMG,SHA,1926986
RGN,BKK,610657
SVO,AYT,2177905
URC,XIY,2108283
DEL,CCU,1313182
BRU,ATH,2103835
DEL,SIN,4151684
BRU,HER,2397382
CSX,SHA,853034
ATH,LCA,931818
ATH,BRU,2103835
ATH,PHL,8102464
DUS,ATH,2005223
SKG,ARN,2157042
SHE,SZX,2292381
SYX,HGH,1729105
TIP,IST,1669920
ATH,OTP,758747
IST,CDG,2240732
ATH,BEG,822370
CDG,HER,2392554
AUH,LHR,5522926
ATL,SYR,1277132
AGS,CLT,225137
TYS,ATL,244462
TLS,NCE,472083
BKK,BOM,3034058
CJU,PVG,513511
SHE,NKG,1172961
AUS,CLT,1661624
SIN,RGN,1924218
SIN,PVG,3793921
AGP,LHR,1674845
BNE,AKL,2297838
