TIP,FCO,1017670
ATL,LEX,488449
PVG,BKK,2894394
XMN,KWL,820645
NNG,FOC,1222999
ICN,HKG,2066884
GSO,ATL,493012
XIY,KMG,1178438
ICN,NGO,974998
GUM,ICN,3221024
ICN,GUM,3221024
CEB,PUS,2800216
KMG,HGH,1815773
SHE,HGH,1295374
CAN,RGN,1930930
TIP,TUN,536444
PVG,CJU,513511
HND,FUK,883028
SXM,SDQ,695103
KMG,TYN,1675780
SVX,UFA,394140
LGA,MSY,1904276
CNX,PVG,2674687
SHE,XIY,1516490
REP,PVG,2692394
PNH,RGN,1111201
CTU,SHA,1662367
BKK,CKG,1876799
RIX,TFS,4510906
CSX,FOC,686082
CDG,IST,2240732
FOC,NNG,1222999
DLC,WUH,1127413
ICN,RGN,3741177
NGO,ICN,974998
KWE,SIN,2803342
SYX,SHA,1866587
KMG,KWE,419553
ICN,CEB,3018905
KMG,WUH,1275073
BKK,ICN,3664866
CTU,KMG,615112
NKG,SHE,1172961
PVG,DLC,868161
ATL,GSP,246766
HKG,ICN,2066884
SHE,PVG,1174374
YVR,YYJ,63364
BKK,RGN,610657
KIX,PVG,1309380
CJU,PUS,291275
KMG,XIY,1178438
KWE,KMG,419553
PVG,KMG,1968438
KMG,NNG,601164
PVG,KHH,960082
COK,AUH,2793650
BOM,JNB,6950028
DTW,MSY,1490267
KMG,CSX,1079719
AUH,TRV,2952852
PVG,XMN,815937
TLV,ATH,1194695
ATH,AUH,3266299
SKG,FRA,1543601
CUN,BZE,415332
BOM,KWI,2760419
RGN,BKK,610657
SIN,KWE,2803342
BOM,LHR,7221029
KWL,PVG,1327727
DEL,DXB,2187214
HER,VIE,1586678
BOM,AUH,1972968
MCT,BOM,1591824
FOC,CSX,686082
TNA,KMG,1882804
ICN,NRT,1259635
SHA,CTU,1662367
SHA,CAN,1174357
KIX,HND,432482
CKG,BKK,1876799
DME,GRV,1449447
CAN,SHA,1174357
SZX,SHE,2292381
DXB,TIP,4167542
PVG,CKG,1464020
KMG,SHA,1926986
CHA,ATL,170775
ATH,DME,2207252
TSN,DLC,363389
CAI,TIP,1755900
ABQ,LAX,1089899
DEL,BLR,1702766
KWE,NKG,1306515
BRU,HER,2397382
TLV,TBS,1396173
KUL,RGN,1681057
PVG,CNX,2674687
SKG,STR,1415938
BOM,CCU,1667514
DEL,DMM,2701801
LHR,DEL,6744117
HKG,BOM,4278300
ATH,LHR,2430324
IST,ERZ,1053086
DEL,SIN,4151684
NKG,KWE,1306515
FRA,HER,2116301
SHA,CSX,853034
DMM,AUH,537752
ATH,BRU,2103835
RGN,ICN,3741177
CCU,DEL,1313182
XMN,PVG,815937
PVG,KWL,1327727
DMM,COK,3329792
DEL,BKK,2947695
CSX,KMG,1079719
TYN,KMG,1675780
TRV,AUH,2952852
MRS,ATH,1691912
KMG,KWL,716838
ATH,PHL,8102464
BOM,BKK,3034058
IST,DLM,473339
FUK,ICN,563116
MSY,LGA,1904276
RGN,KUL,1681057
PVG,NNG,1649724
IST,BJV,425467
TIP,CMN,1937092
SKG,ATH,298859
PVG,SHE,1174374
IST,TZX,922981
